ts,score,ear,gaze_h,gaze_v
1762160055.445,40.488,0.1462,1.0000,0.5712
1762160055.550,42.988,0.2222,1.0000,0.5777
1762160055.747,40.000,0.2603,1.0000,0.6227
1762160055.862,42.500,0.2680,1.0000,0.5976
1762160056.052,45.000,0.2581,1.0000,0.6039
1762160056.261,47.500,0.2657,1.0000,0.6298
1762160056.453,50.000,0.2602,1.0000,0.6522
1762160056.563,52.418,0.2578,1.0000,0.6626
1762160056.755,54.006,0.2684,1.0000,0.6859
1762160056.965,55.529,0.2537,1.0000,0.5946
1762160057.155,56.443,0.2576,1.0000,0.6282
1762160057.269,57.228,0.2569,1.0000,0.5961
1762160057.458,57.966,0.2687,1.0000,0.5540
1762160057.665,56.784,0.2151,1.0000,0.5596
1762160057.859,57.300,0.2472,1.0000,0.6035
1762160057.971,57.864,0.2617,1.0000,0.5880
1762160058.164,58.563,0.2668,1.0000,0.5204
1762160058.369,59.120,0.2666,1.0000,0.5053
1762160058.564,59.369,0.2664,1.0000,0.5366
1762160058.675,59.804,0.2685,1.0000,0.4789
1762160058.869,59.794,0.2763,1.0000,0.5486
1762160059.072,59.850,0.2921,1.0000,0.5345
1762160059.268,59.863,0.2777,1.0000,0.5405
1762160059.472,60.015,0.2748,1.0000,0.5088
1762160059.665,60.127,0.2860,1.0000,0.5073
1762160059.781,60.071,0.2956,1.0000,0.5374
1762160059.972,60.084,0.2939,1.0000,0.5257
1762160060.178,60.063,0.2999,1.0000,0.5325
1762160060.370,59.976,0.2874,1.0000,0.5483
1762160060.481,59.951,0.2934,1.0000,0.5407
1762160060.675,54.206,0.1368,1.0000,0.5259
1762160060.882,54.348,0.2352,1.0000,0.7307
1762160061.074,52.935,0.2212,1.0000,0.9170
1762160061.190,51.189,0.2115,1.0000,0.9819
1762160061.377,51.291,0.2379,1.0000,0.9687
1762160061.587,51.838,0.3053,1.0000,0.9924
1762160061.780,52.186,0.3038,1.0000,1.0000
1762160061.891,52.431,0.3140,1.0000,1.0000
1762160062.084,52.601,0.3084,1.0000,1.0000
1762160062.291,52.721,0.3101,1.0000,1.0000
1762160062.485,52.805,0.3051,1.0000,1.0000
1762160062.594,52.863,0.2958,1.0000,1.0000
1762160062.789,52.929,0.3035,1.0000,0.9946
1762160062.997,52.950,0.2949,1.0000,1.0000
1762160063.185,52.965,0.3021,1.0000,1.0000
1762160063.299,52.975,0.2983,1.0000,1.0000
1762160063.491,52.983,0.2931,1.0000,1.0000
1762160063.699,52.988,0.3003,1.0000,1.0000
1762160063.890,52.992,0.3114,1.0000,1.0000
1762160063.997,52.994,0.3262,1.0000,1.0000
1762160064.199,52.996,0.3093,1.0000,1.0000
1762160064.404,49.808,0.1911,1.0000,1.0000
1762160064.597,50.766,0.2793,1.0000,1.0000
1762160064.710,51.436,0.2949,1.0000,1.0000
1762160064.901,51.905,0.3240,1.0000,1.0000
1762160065.111,47.424,0.1573,1.0000,1.0000
1762160065.303,49.097,0.2876,1.0000,1.0000
1762160065.412,50.268,0.2969,1.0000,1.0000
