ts,score,ear,gaze_h,gaze_v
1762156757.869,42.500,0.2326,1.0000,1.0000
1762156758.054,44.031,0.2163,1.0000,1.0000
1762156758.165,40.000,0.2491,1.0000,1.0000
1762156758.360,42.500,0.2390,1.0000,0.9257
1762156758.472,45.000,0.2542,1.0000,0.7596
1762156758.662,47.500,0.2479,1.0000,0.5355
1762156758.872,50.000,0.2434,1.0000,0.3650
1762156759.064,52.500,0.2384,1.0000,0.2243
1762156759.176,55.000,0.2359,1.0000,0.2288
1762156759.365,57.500,0.2467,1.0000,0.1797
1762156759.575,59.866,0.2559,1.0000,0.1743
1762156759.768,60.712,0.2597,1.0000,0.3542
1762156759.877,61.292,0.2550,1.0000,0.3570
1762156760.069,59.032,0.1816,1.0000,0.1402
1762156760.279,59.451,0.2311,1.0000,0.3027
1762156760.468,60.204,0.2493,1.0000,0.3955
1762156760.581,60.935,0.2509,1.0000,0.3572
1762156760.773,61.225,0.2525,1.0000,0.4066
1762156760.982,60.182,0.2251,1.0000,0.4176
1762156761.176,54.222,0.1416,1.0000,0.6096
1762156761.285,50.333,0.1713,1.0000,0.7836
1762156761.479,51.150,0.2554,1.0000,0.9962
1762156761.686,52.249,0.2618,1.0000,0.8790
1762156761.877,53.274,0.2607,1.0000,0.8224
1762156761.992,54.579,0.2579,1.0000,0.6918
1762156762.185,55.632,0.2569,1.0000,0.6606
1762156762.392,56.566,0.2543,1.0000,0.6171
1762156762.581,57.510,0.2489,1.0000,0.5409
1762156762.694,58.163,0.2692,1.0000,0.5543
1762156762.889,58.481,0.2374,1.0000,0.4503
1762156763.095,59.625,0.2539,1.0000,0.3802
1762156763.283,60.864,0.2404,1.0000,0.1807
1762156763.398,62.066,0.2429,1.0000,0.1324
1762156763.591,63.846,0.2634,1.0000,0.0000
1762156763.797,65.092,0.2630,1.0000,0.0000
1762156763.989,65.092,0.0000,0.0000,0.0000
1762156764.103,63.587,0.2608,1.0000,0.5283
1762156764.295,62.919,0.2523,1.0000,0.4427
1762156764.504,40.000,0.2864,1.0000,0.0000
1762156764.692,42.500,0.2486,1.0000,0.1911
1762156764.808,45.000,0.2423,1.0000,0.2062
1762156765.002,47.500,0.2469,1.0000,0.1880
1762156765.205,50.000,0.2288,1.0000,0.1804
1762156765.404,52.500,0.2228,1.0000,0.1810
1762156765.623,55.000,0.2406,1.0000,0.1705
1762156765.803,57.500,0.2450,1.0000,0.1463
1762156765.912,59.851,0.2440,1.0000,0.1131
1762156766.106,60.968,0.2343,1.0000,0.1272
1762156766.315,63.078,0.2773,1.0000,0.0000
1762156766.505,64.554,0.2874,1.0000,0.0000
1762156766.616,65.357,0.2452,1.0000,0.0000
1762156766.807,63.644,0.2053,1.0000,0.0000
1762156767.015,60.332,0.1688,1.0000,0.0000
1762156767.208,61.586,0.2282,1.0000,0.0000
1762156767.319,62.784,0.2349,1.0000,0.0000
1762156767.513,63.889,0.2404,1.0000,0.0000
1762156767.720,65.122,0.2574,1.0000,0.0000
1762156767.913,65.924,0.2487,1.0000,0.0000
1762156768.024,66.069,0.2400,1.0000,0.0000
1762156768.215,66.145,0.2395,1.0000,0.0000
1762156768.424,66.121,0.2379,1.0000,0.0000
1762156768.617,66.229,0.2405,1.0000,0.0000
1762156768.728,66.338,0.2412,1.0000,0.0000
1762156768.921,66.529,0.2436,1.0000,0.0000
1762156769.128,65.822,0.2261,1.0000,0.0000
1762156769.320,66.263,0.2456,1.0000,0.0000
1762156769.434,65.835,0.2302,1.0000,0.0000
1762156769.625,65.255,0.2244,1.0000,0.0000
1762156769.834,64.542,0.2180,1.0000,0.0000
1762156770.025,61.369,0.1698,1.0000,0.0000
1762156770.137,55.985,0.1208,1.0000,0.1006
1762156770.329,49.761,0.1163,1.0000,0.5177
1762156770.538,48.227,0.2056,1.0000,0.7635
1762156770.730,45.621,0.1799,1.0000,0.7500
1762156770.841,42.149,0.1393,1.0000,0.6029
1762156771.032,38.257,0.0880,1.0000,0.3005
1762156771.241,36.763,0.0930,1.0000,0.0000
1762156771.432,36.391,0.1145,1.0000,0.0000
1762156771.545,38.891,0.1831,1.0000,0.0000
1762156771.737,41.103,0.1988,1.0000,0.1023
1762156771.945,43.603,0.2184,1.0000,0.1060
1762156772.137,46.103,0.2154,1.0000,0.0000
1762156772.249,48.603,0.2262,1.0000,0.0000
1762156772.441,51.103,0.2130,1.0000,0.1151
1762156772.649,52.885,0.2021,1.0000,0.1398
1762156772.840,53.166,0.1862,1.0000,0.1041
1762156772.954,52.643,0.1800,1.0000,0.1186
1762156773.145,52.543,0.1971,1.0000,0.1618
1762156773.353,51.830,0.1909,1.0000,0.1584
1762156773.546,51.210,0.1928,1.0000,0.1255
1762156773.655,50.677,0.1981,1.0000,0.1237
1762156773.847,50.677,0.0000,0.0000,0.0000
1762156774.061,47.328,0.1843,1.0000,0.5583
1762156774.248,47.328,0.0000,0.0000,0.0000
1762156774.357,47.328,0.0000,0.0000,0.0000
1762156774.558,46.870,0.2583,1.0000,1.0000
1762156774.761,47.269,0.2508,1.0000,1.0000
1762156774.952,47.269,0.0000,0.0000,0.0000
1762156775.060,47.269,0.0000,0.0000,0.0000
1762156775.253,47.269,0.0000,0.0000,0.0000
1762156775.461,47.269,0.0000,0.0000,0.0000
1762156775.653,47.269,0.0000,0.0000,0.0000
1762156775.765,45.769,0.0000,0.0000,0.0000
1762156775.957,44.269,0.0000,0.0000,0.0000
1762156776.165,42.769,0.0000,0.0000,0.0000
1762156776.357,41.269,0.0000,0.0000,0.0000
1762156776.566,39.769,0.0000,0.0000,0.0000
1762156776.757,38.269,0.0000,0.0000,0.0000
1762156776.870,36.769,0.0000,0.0000,0.0000
1762156777.061,35.269,0.0000,0.0000,0.0000
1762156777.271,33.769,0.0000,0.0000,0.0000
1762156777.460,32.269,0.0000,0.0000,0.0000
1762156777.573,30.769,0.0000,0.0000,0.0000
1762156777.765,29.269,0.0000,0.0000,0.0000
1762156777.972,27.769,0.0000,0.0000,0.0000
1762156778.165,26.269,0.0000,0.0000,0.0000
1762156778.277,24.769,0.0000,0.0000,0.0000
1762156778.468,23.269,0.0000,0.0000,0.0000
1762156778.677,21.769,0.0000,0.0000,0.0000
1762156778.870,20.269,0.0000,0.0000,0.0000
1762156778.981,18.769,0.0000,0.0000,0.0000
1762156779.172,17.269,0.0000,0.0000,0.0000
1762156779.381,15.769,0.0000,0.0000,0.0000
1762156779.572,14.269,0.0000,0.0000,0.0000
1762156779.686,12.769,0.0000,0.0000,0.0000
1762156779.876,11.269,0.0000,0.0000,0.0000
1762156780.085,9.769,0.0000,0.0000,0.0000
1762156780.278,8.269,0.0000,0.0000,0.0000
1762156780.388,6.769,0.0000,0.0000,0.0000
1762156780.580,5.269,0.0000,0.0000,0.0000
1762156780.788,3.769,0.0000,0.0000,0.0000
1762156780.990,6.269,0.3352,1.0000,0.4125
1762156781.097,8.769,0.3065,1.0000,0.3295
1762156781.288,11.269,0.3113,1.0000,0.3860
1762156781.498,13.769,0.3046,1.0000,0.3863
1762156781.687,16.269,0.2957,1.0000,0.3757
1762156781.799,18.769,0.2887,1.0000,0.2059
1762156781.992,21.269,0.0996,1.0000,0.1965
1762156782.203,23.769,0.1902,1.0000,0.0000
1762156782.395,26.269,0.2964,1.0000,0.1246
1762156782.507,28.769,0.2685,1.0000,0.1184
1762156782.697,31.269,0.2583,1.0000,0.1214
1762156782.906,33.769,0.2860,1.0000,0.0000
1762156783.096,36.269,0.2763,1.0000,0.0000
1762156783.210,38.769,0.2732,1.0000,0.1090
1762156783.402,41.269,0.2686,1.0000,0.1235
1762156783.622,43.769,0.2603,1.0000,0.1380
